source_annotations,annotation_id,image_id,image_filename,full_image_path,letter,label_raw,bbox,area,base_types,TM
train_annotations,1289377,466,TM144_BGU.3.992.jpg,dataset/TM144_BGU.3.992.jpg,Iota,Ι,"[5819, 1424, 58, 97]",5626,bt2,144
train_annotations,1324173,540,TM44603_P.Eleph.27a.jpg,dataset/TM44603_P.Eleph.27a.jpg,Kappa,Κ,"[1463, 3655, 108, 158]",17064,bt2,44603
train_annotations,1311979,517,TM4927_BGU.8.1848.jpg,dataset/TM4927_BGU.8.1848.jpg,Pi,Π,"[2493, 5156, 54, 102]",5508,bt2,4927
train_annotations,1383785,446,TM3740_P.Tebt.1.104.jpg,dataset/TM3740_P.Tebt.1.104.jpg,Epsilon,Ε,"[1091, 3434, 76, 148]",11248,bt2,3740
train_annotations,1277036,419,TM5132_SB.28.16855.jpg,dataset/TM5132_SB.28.16855.jpg,Rho,Ρ,"[3093, 4869, 65, 114]",7410,bt2,5132
train_annotations,1381049,500,TM3409_UPZ.1.18.jpg,dataset/TM3409_UPZ.1.18.jpg,Eta,Η,"[288, 612, 24, 24]",576,bt2,3409
train_annotations,1311629,517,TM4927_BGU.8.1848.jpg,dataset/TM4927_BGU.8.1848.jpg,Iota,Ι,"[1247, 1170, 42, 91]",3822,bt2,4927
test_annotations,1377477,485,TM1137_P.Cair.Zen.3.59499_V.jpg,dataset/TM1137_P.Cair.Zen.3.59499_V.jpg,Xi,Ξ,"[866, 1371, 88, 65]",5720,bt2,1137
train_annotations,1322410,445,TM3745_P.Tebt.1.109.jpg,dataset/TM3745_P.Tebt.1.109.jpg,Mu,Μ,"[1219, 2037, 46, 36]",1656,bt2,3745
train_annotations,1358548,542,TM69805_BGU.18.2731.jpg,dataset/TM69805_BGU.18.2731.jpg,Upsilon,Υ,"[3020, 3545, 91, 107]",9737,bt2,69805
train_annotations,1144594,443,TM131_P.Batav.6_frag.A.jpg,dataset/TM131_P.Batav.6_frag.A.jpg,Upsilon,Υ,"[2841, 840, 109, 122]",13298,bt2,131
test_annotations,1377367,485,TM1137_P.Cair.Zen.3.59499_V.jpg,dataset/TM1137_P.Cair.Zen.3.59499_V.jpg,Alpha,Α,"[1434, 474, 59, 64]",3776,bt2,1137
train_annotations,1320919,424,TM18503_BGU.4.1058.jpg,dataset/TM18503_BGU.4.1058.jpg,Epsilon,Ε,"[343, 1096, 96, 103]",9888,bt2,18503
train_annotations,1414875,524,TM5836_P.Eleph.1.jpg,dataset/TM5836_P.Eleph.1.jpg,Delta,Δ,"[2865, 3893, 64, 106]",6784,bt2,5836
train_annotations,1283213,546,TM316242_P.Tarich.2.jpg,dataset/TM316242_P.Tarich.2.jpg,Iota,Ι,"[780, 934, 60, 162]",9720,bt2,316242
test_annotations,1410586,556,TM3283_P.Enteux.6.jpg,dataset/TM3283_P.Enteux.6.jpg,Kappa,Κ,"[3227, 1306, 50, 103]",5150,bt2,3283
train_annotations,1295044,466,TM144_BGU.3.992.jpg,dataset/TM144_BGU.3.992.jpg,Kappa,Κ,"[8526, 1065, 96, 116]",11136,bt2,144
train_annotations,1329759,437,TM663_P.Cair.Zen.1.59001_frag.Cairo.jpg,dataset/TM663_P.Cair.Zen.1.59001_frag.Cairo.jpg,Phi,Φ,"[1290, 903, 53, 78]",4134,bt2,663
train_annotations,1254848,467,TM215_P.Dryton.25_R.jpg,dataset/TM215_P.Dryton.25_R.jpg,Tau,Τ,"[340, 638, 28, 25]",700,bt2,215
train_annotations,184231,715,TM665_P.Cair.Zen.1.59003.jpg,dataset/TM665_P.Cair.Zen.1.59003.jpg,Alpha,Α,"[1063, 627, 37, 51]",1887,bt2,665
train_annotations,1289296,466,TM144_BGU.3.992.jpg,dataset/TM144_BGU.3.992.jpg,Tau,Τ,"[7171, 1017, 73, 86]",6278,bt2,144
train_annotations,1417044,538,TM18592_BGU.4.1146.jpg,dataset/TM18592_BGU.4.1146.jpg,Gamma,Γ,"[2707, 2827, 44, 95]",4180,bt2,18592
train_annotations,183567,715,TM665_P.Cair.Zen.1.59003.jpg,dataset/TM665_P.Cair.Zen.1.59003.jpg,Omicron,Ο,"[619, 650, 25, 36]",900,bt2,665
train_annotations,1277283,510,TM3686_P.Tebt.1.50.jpg,dataset/TM3686_P.Tebt.1.50.jpg,Kappa,Κ,"[1942, 1619, 52, 48]",2496,bt2,3686
test_annotations,1392619,489,TM1579_P.Lond.7.2017.jpg,dataset/TM1579_P.Lond.7.2017.jpg,Sigma,Σ,"[853, 866, 8, 19]",152,bt2,1579
train_annotations,1314673,473,TM262_P.Grenf.1.38.jpg,dataset/TM262_P.Grenf.1.38.jpg,Omega,Ω,"[277, 576, 37, 24]",888,bt2,262
train_annotations,1282790,545,TM121853_P.Sorb.3.71.jpg,dataset/TM121853_P.Sorb.3.71.jpg,Upsilon,Υ,"[972, 1610, 36, 58]",2088,bt2,121853
train_annotations,1291702,536,TM18560_BGU.4.1118.jpg,dataset/TM18560_BGU.4.1118.jpg,Sigma,Σ,"[1065, 3112, 25, 39]",975,bt2,18560
train_annotations,1383804,446,TM3740_P.Tebt.1.104.jpg,dataset/TM3740_P.Tebt.1.104.jpg,Sigma,Σ,"[2184, 3404, 30, 52]",1560,bt2,3740
train_annotations,1146639,419,TM5132_SB.28.16855.jpg,dataset/TM5132_SB.28.16855.jpg,Omicron,Ο,"[2306, 909, 72, 90]",6480,bt2,5132
train_annotations,1388093,541,TM44722_P.Diosk.6.jpg,dataset/TM44722_P.Diosk.6.jpg,Lambda,Λ,"[828, 1585, 40, 45]",1800,bt2,44722
train_annotations,1306481,554,TM3098_P.Dion.15_R.jpg,dataset/TM3098_P.Dion.15_R.jpg,Rho,Ρ,"[575, 2142, 26, 66]",1716,bt2,3098
train_annotations,1291929,536,TM18560_BGU.4.1118.jpg,dataset/TM18560_BGU.4.1118.jpg,Gamma,Γ,"[1122, 1528, 32, 50]",1600,bt2,18560
train_annotations,1313215,511,TM3689_P.Tebt.1.53.jpg,dataset/TM3689_P.Tebt.1.53.jpg,Nu,Ν,"[1324, 1679, 53, 64]",3392,bt2,3689
train_annotations,1380889,500,TM3409_UPZ.1.18.jpg,dataset/TM3409_UPZ.1.18.jpg,Pi,Π,"[692, 436, 22, 23]",506,bt2,3409
train_annotations,1283932,439,TM44733_P.Diosk.18.jpg,dataset/TM44733_P.Diosk.18.jpg,Chi,Χ,"[663, 1754, 49, 41]",2009,bt2,44733
